[14:53:30] New map: rp_powerplant_v2b2



[16:25:47] New map: rp_powerplant_v2b2
[17:01:53] Client "Fat Gay" connected.
[17:02:50] Client "Fat Gay" spawned in server <STEAM_0:1:218173703> (took 57 seconds).
[17:05:25] Client "Nebula" connected.
[17:10:55] Client "Nebula" spawned in server <STEAM_0:0:98564878> (took 330 seconds).
[17:14:39] Researcher Ramsay: !goto fat
[17:14:39] Researcher Ramsay teleported to Fat Gay
[17:17:13] Researcher Ramsay killed Fat Gay using weapon_l4d2_chainsaw
[17:17:58] Researcher Ramsay: !strip ^
[17:17:58] Researcher Ramsay stripped weapons from Themself
[17:19:03] Researcher Ramsay: !strip ^
[17:19:03] Researcher Ramsay stripped weapons from Themself
[17:19:23] Client "Wolves Mercy" connected.
[17:19:52] Researcher Ramsay: !strip ^
[17:19:52] Researcher Ramsay stripped weapons from Themself
[17:19:54] Researcher Ramsay: !slay ^
[17:19:54] Researcher Ramsay suicided!
[17:19:54] Researcher Ramsay slayed Themself
[17:20:25] Researcher Ramsay: !respawn Fat
[17:20:45] Researcher Ramsay: !slay ^
[17:20:45] Researcher Ramsay suicided!
[17:20:45] Researcher Ramsay slayed Themself
[17:21:18] Researcher Ramsay: !slay ^
[17:21:18] Researcher Ramsay suicided!
[17:21:18] Researcher Ramsay slayed Themself
[17:21:57] Researcher Ramsay: !slay ^
[17:21:57] Researcher Ramsay suicided!
[17:21:57] Researcher Ramsay slayed Themself
[17:24:47] Client "Wolves Mercy" spawned in server <STEAM_0:0:86025114> (took 324 seconds).
[17:25:18] Security Soal: // Hey guys.
[17:26:32] Security Soal: // Aaaand gmod is doing the door bug again. 1 moment!
[17:26:36] Dropped "Security Soal" from server<STEAM_0:0:86025114>
[17:31:04] Client "Wolves Mercy" connected.
[17:34:38] Client "Wolves Mercy" spawned in server <STEAM_0:0:86025114> (took 214 seconds).
[17:35:22] Researcher Ramsay: !goto fat
[17:36:11] Researcher Ramsay was killed by trigger_hurt
[17:36:42] Researcher Ramsay: !menu
[17:41:57] Security Soal: // 2 trams now?
[17:42:06] (TEAM) Researcher Ramsay: y
[17:42:20] Researcher Ramsay: /ooc boi, it has only been 1 day
[17:42:33] Security Soal: // I just dont remember two stations here
[17:42:41] Researcher Ramsay: /ooc 2 stations one tram
[17:42:47] Security Soal: // Ok
[17:43:03] Fat Gay: !menu
[17:43:23] (Console) added Fat Gay to group Owner
[17:44:17] (Console) granted access "*" to group Owner
[17:44:22] Fat Gay: !menu
[17:44:37] Fat Gay: !goto soa
[17:48:31] (Console) added Fat Gay to group CoOwner
[17:48:35] Fat Gay: !menu
[17:48:43] (Console) added Fat Gay to group superadmin
[17:48:58] Fat Gay added Researcher Ramsay to group Moderator
[17:49:16] Fat Gay granted access "awarn_delete" to group Owner
[17:49:16] Fat Gay revoked access "awarn_delete" to group Owner
[17:49:16] Fat Gay granted access "awarn_options" to group Owner
[17:49:17] Fat Gay granted access "awarn_delete" to group Owner
[17:49:17] Fat Gay granted access "awarn_remove" to group Owner
[17:49:18] Fat Gay granted access "awarn_warn" to group Owner
[17:49:18] Fat Gay granted access "awarn_view" to group Owner
[17:49:19] Fat Gay granted access "ulx csay" to group Owner
[17:49:19] Fat Gay granted access "ulx csaycolor" to group Owner
[17:49:20] Fat Gay granted access "ulx gag" to group Owner
[17:49:20] Fat Gay granted access "ulx gimp" to group Owner
[17:49:21] Fat Gay granted access "ulx mute" to group Owner
[17:49:21] Fat Gay granted access "ulx notifications" to group Owner
[17:49:21] Fat Gay granted access "ulx pgag" to group Owner
[17:49:22] Fat Gay granted access "ulx printpgags" to group Owner
[17:49:22] Fat Gay granted access "ulx sasay" to group Owner
[17:49:24] Fat Gay granted access "ulx tsay" to group Owner
[17:49:24] Fat Gay granted access "ulx tsaycolor" to group Owner
[17:49:25] Fat Gay granted access "ulx ungag" to group Owner
[17:49:25] Fat Gay granted access "ulx ungimp" to group Owner
[17:49:25] Fat Gay granted access "ulx unmute" to group Owner
[17:49:26] Fat Gay granted access "ulx unpgag" to group Owner
[17:49:27] Fat Gay granted access "darkrp_admincommands" to group Owner
[17:49:28] Fat Gay granted access "darkrp_changedoorsettings" to group Owner
[17:49:28] Fat Gay granted access "darkrp_getadminweapons" to group Owner
[17:49:28] Fat Gay granted access "darkrp_seeevents" to group Owner
[17:49:28] Fat Gay granted access "darkrp_setdoorowner" to group Owner
[17:49:29] Fat Gay granted access "darkrp_setlicense" to group Owner
[17:49:29] Fat Gay granted access "darkrp_setmoney" to group Owner
[17:49:29] Fat Gay granted access "fpp_cleanup" to group Owner
[17:49:30] Fat Gay granted access "fpp_touchotherplayersprops" to group Owner
[17:49:31] Fat Gay granted access "fpp_settings" to group Owner
[17:49:31] Fat Gay granted access "fspectate" to group Owner
[17:49:31] Fat Gay granted access "fspectateteleport" to group Owner
[17:49:34] Fat Gay granted access "ulx armor" to group Owner
[17:49:34] Fat Gay granted access "ulx blind" to group Owner
[17:49:35] Fat Gay granted access "ulx cloak" to group Owner
[17:49:35] Fat Gay granted access "ulx color" to group Owner
[17:49:35] Fat Gay granted access "ulx deaths" to group Owner
[17:49:35] Fat Gay revoked access "ulx deaths" to group Owner
[17:49:36] Fat Gay granted access "ulx explode" to group Owner
[17:49:36] Fat Gay revoked access "ulx explode" to group Owner
